    PID    PPID COMMAND         COMMAND
    720       2 irq/156-iwlwifi [irq/156-iwlwifi:queue_2]
    721       2 irq/157-iwlwifi [irq/157-iwlwifi:queue_3]
    722       2 irq/158-iwlwifi [irq/158-iwlwifi:queue_4]
    723       2 irq/159-iwlwifi [irq/159-iwlwifi:queue_5]
    724       2 irq/160-iwlwifi [irq/160-iwlwifi:queue_6]
    725       2 irq/161-iwlwifi [irq/161-iwlwifi:queue_7]
    726       2 irq/162-iwlwifi [irq/162-iwlwifi:queue_8]
    727       2 irq/163-iwlwifi [irq/163-iwlwifi:exception]
    738       2 jbd2/nvme0n1p2- [jbd2/nvme0n1p2-8]
    739       2 kworker/R-ext4- [kworker/R-ext4-rsv-conversion]
    743       2 kworker/R-led_w [kworker/R-led_workqueue]
    796       1 systemd-resolve /usr/lib/systemd/systemd-resolved
    800       1 auditd          /usr/bin/auditd
    842       2 kworker/R-rpcio [kworker/R-rpciod]
    843       2 kworker/R-xprti [kworker/R-xprtiod]
    845       1 dbus-broker-lau /usr/bin/dbus-broker-launch --scope system --audit
    848     845 dbus-broker     dbus-broker --log 10 --controller 9 --machine-id 955cfe232dad4fa48429935d8113c387 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
    849       1 earlyoom        /usr/bin/earlyoom -r 0 -m 4 -M 409600 --prefer ^(Web Content|Isolated Web Co)$ --avoid ^(claude|ptyxis|dnf|packagekitd|gnome-shell|gnome-session-c|gnome-session-b|lightdm|sddm|sddm-helper|gdm|gdm-wayland-ses|gdm-session-wor|gdm-x-session|Xorg|Xwayland|systemd|systemd-logind|dbus-daemon|dbus-broker|cinnamon|cinnamon-sessio|kwin_x11|kwin_wayland|plasmashell|ksmserver|plasma_session|startplasma-way|sway|i3|xfce4-session|mate-session|marco|lxqt-session|openbox|cryptsetup)$
    852       1 avahi-daemon    avahi-daemon: running [fedora-server.local]
    853       1 bluetoothd      /usr/libexec/bluetooth/bluetoothd
    857       1 irqbalance      /usr/sbin/irqbalance
    858       1 chronyd         /usr/sbin/chronyd -n -F 2
    860       1 low-memory-moni /usr/libexec/low-memory-monitor
    863       1 mcelog          /usr/sbin/mcelog --daemon --foreground
    864       1 polkitd         /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
    865       1 rtkit-daemon    /usr/libexec/rtkit-daemon
    866       1 smartd          /usr/bin/smartd -n -q never --capabilities=mail
    867       1 switcheroo-cont /usr/libexec/switcheroo-control
    868       1 systemd-machine /usr/lib/systemd/systemd-machined
    869       1 thermald        /usr/bin/thermald --systemd --dbus-enable --adaptive
    870       1 udisksd         /usr/libexec/udisks2/udisksd
    871       1 upowerd         /usr/libexec/upowerd
    880       1 accounts-daemon /usr/libexec/accounts-daemon
    884       1 systemd-logind  /usr/lib/systemd/systemd-logind
    889     852 avahi-daemon    avahi-daemon: chroot helper
    902       2 psimon          [psimon]
    922       1 abrtd           /usr/sbin/abrtd -d -s
    933       1 uresourced      /usr/libexec/uresourced
    969       1 ModemManager    /usr/bin/ModemManager
    970       1 firewalld       /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
    997       1 alsactl         /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
   1042       1 NetworkManager  /usr/bin/NetworkManager --no-daemon
   1062       1 abrt-dump-journ /usr/bin/abrt-dump-journal-core -D -T -f -e
   1063       1 abrt-dump-journ /usr/bin/abrt-dump-journal-oops -fxtD
   1064       1 abrt-dump-journ /usr/bin/abrt-dump-journal-xorg -fxtD
   1071       1 wpa_supplicant  /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
   1089       1 cupsd           /usr/bin/cupsd -l
   1090       1 gssproxy        /usr/bin/gssproxy -i
   1091       1 python3         /usr/bin/python3 -m proton.vpn.daemon
   1092       1 tuned           /usr/bin/python3 -Es /usr/sbin/tuned -l -P
   1098       1 containerd      /usr/bin/containerd
   1118       1 tuned-ppd       /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
   1141       1 dockerd         /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
   1143       1 rsyslogd        /usr/sbin/rsyslogd -n
   1150       1 atd             /usr/sbin/atd -f
   1152       1 crond           /usr/sbin/crond -n
   1154       1 gdm             /usr/bin/gdm
   1158       1 systemd         /usr/lib/systemd/systemd --user
   1203    1158 (sd-pam)        (sd-pam)
   1341    1158 tmux: server    /usr/bin/tmux -L sshx new-session -d -s main
   1343    1158 dbus-broker-lau /usr/bin/dbus-broker-launch --scope user
   1357    1343 dbus-broker     dbus-broker --log 10 --controller 9 --machine-id 955cfe232dad4fa48429935d8113c387 --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
   1376    1158 python3         python3 /home/emeric/.local/bin/sshx-tmux-bridge
   1725       2 krfcommd        [krfcommd]
   1997       1 colord          /usr/libexec/colord
   2338       1 pcscd           /usr/bin/pcscd --foreground --auto-exit
   3688       1 containerd-shim /usr/bin/containerd-shim-runc-v2 -namespace moby -id 5d1b193a289e785ac073005584e2da7903467e5cc4d1b02bd09882b238a18791 -address /run/containerd/containerd.sock
