case,sample,s4,s5,fade,before_frontier,after_frontier,context_defect,memory_defect,call_defect,unexpected,before_goal,after_goal,before_vf11z,after_vf11z,before_return,after_return
80,2,64,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
81,2,64,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
82,2,64,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
83,2,64,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
84,2,64,48,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
85,2,64,48,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
86,2,64,48,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
87,2,64,48,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
88,2,64,48,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
89,2,64,48,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
90,2,64,80,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
91,2,64,80,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
92,2,64,80,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
93,2,64,80,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
94,2,64,80,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
95,2,64,80,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
96,2,128,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
97,2,128,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
98,2,128,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
99,2,128,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
100,2,128,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
101,2,128,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
102,2,64,128,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
103,2,64,128,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
104,2,64,128,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
105,2,64,128,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
106,2,64,128,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
107,2,64,128,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
108,3,64,256,00000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
109,3,64,256,80000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
110,3,64,256,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
111,3,64,256,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
112,3,64,256,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
113,3,64,256,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
114,3,64,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
115,3,64,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
116,3,64,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
117,3,64,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
118,3,64,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
119,3,64,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
120,3,64,48,00000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
121,3,64,48,80000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
122,3,64,48,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
123,3,64,48,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
124,3,64,48,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
125,3,64,48,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
126,3,64,80,00000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
127,3,64,80,80000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
128,3,64,80,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
129,3,64,80,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
130,3,64,80,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
131,3,64,80,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
132,3,128,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
133,3,128,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
134,3,128,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
135,3,128,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
136,3,128,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
137,3,128,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
138,3,64,128,00000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
139,3,64,128,80000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
140,3,64,128,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
141,3,64,128,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
142,3,64,128,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
143,3,64,128,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
144,4,64,256,00000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
145,4,64,256,80000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
146,4,64,256,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
147,4,64,256,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
148,4,64,256,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
149,4,64,256,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
150,4,64,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
151,4,64,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
152,4,64,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
153,4,64,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
154,4,64,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
155,4,64,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
156,4,64,48,00000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
157,4,64,48,80000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
158,4,64,48,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
159,4,64,48,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
160,4,64,48,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
161,4,64,48,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
162,4,64,80,00000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
163,4,64,80,80000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
164,4,64,80,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
165,4,64,80,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
166,4,64,80,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
167,4,64,80,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
168,4,128,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
169,4,128,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
170,4,128,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
171,4,128,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
172,4,128,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
173,4,128,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
174,4,64,128,00000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
175,4,64,128,80000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
176,4,64,128,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
177,4,64,128,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,007fffff,007fffff,0,0
178,4,64,128,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
179,4,64,128,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
180,5,64,256,00000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
181,5,64,256,80000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
182,5,64,256,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
183,5,64,256,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
184,5,64,256,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
185,5,64,256,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
186,5,64,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
187,5,64,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
188,5,64,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
189,5,64,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
190,5,64,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
191,5,64,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
192,5,64,48,00000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
193,5,64,48,80000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
194,5,64,48,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
195,5,64,48,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
196,5,64,48,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
197,5,64,48,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
198,5,64,80,00000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
199,5,64,80,80000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
200,5,64,80,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
201,5,64,80,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
202,5,64,80,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
203,5,64,80,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
204,5,128,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
205,5,128,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
206,5,128,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
207,5,128,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
208,5,128,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
209,5,128,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
210,5,64,128,00000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
211,5,64,128,80000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
212,5,64,128,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
213,5,64,128,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,807fffff,807fffff,0,0
214,5,64,128,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
215,5,64,128,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
216,6,64,256,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
217,6,64,256,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
218,6,64,256,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
219,6,64,256,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
220,6,64,256,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
221,6,64,256,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
222,6,64,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
223,6,64,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
224,6,64,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
225,6,64,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
226,6,64,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
227,6,64,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
228,6,64,48,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
229,6,64,48,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
230,6,64,48,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
231,6,64,48,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
232,6,64,48,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
233,6,64,48,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
234,6,64,80,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
235,6,64,80,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
236,6,64,80,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
237,6,64,80,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
238,6,64,80,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
239,6,64,80,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
240,6,128,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
241,6,128,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
242,6,128,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
243,6,128,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
244,6,128,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
245,6,128,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
246,6,64,128,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
247,6,64,128,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
