rel_frame,dpos,drot,x86_lvl,arm_lvl
322,848.1,0.11657,misty,misty
323,767.6,0.11657,misty,misty
324,795.1,0.11657,misty,misty
325,718.0,0.11657,misty,misty
326,796.9,0.11657,misty,misty
327,721.7,0.11657,misty,misty
328,747.8,0.11657,misty,misty
329,774.7,0.11657,misty,misty
330,701.9,0.11657,misty,misty
331,777.1,0.11657,misty,misty
332,658.6,0.11657,misty,misty
333,733.0,0.11657,misty,misty
334,664.8,0.11657,misty,misty
335,691.7,0.11657,misty,misty
336,717.2,0.11657,misty,misty
337,653.0,0.11657,misty,misty
338,723.1,0.11657,misty,misty
339,616.6,0.11657,misty,misty
340,685.7,0.11657,misty,misty
341,625.2,0.11657,misty,misty
342,650.7,0.11657,misty,misty
343,592.3,0.11657,misty,misty
344,618.0,0.11657,misty,misty
345,685.9,0.11657,misty,misty
346,587.0,0.11657,misty,misty
347,654.9,0.11657,misty,misty
348,599.0,0.11657,misty,misty
349,625.7,0.11657,misty,misty
350,652.0,0.11657,misty,misty
351,598.2,0.11657,misty,misty
352,664.6,0.11657,misty,misty
353,572.1,0.11657,misty,misty
354,756.8,0.11657,misty,misty
355,783.7,0.11657,misty,misty
356,731.2,0.11657,misty,misty
357,758.3,0.11657,misty,misty
358,707.0,0.11657,misty,misty
359,734.3,0.11657,misty,misty
360,761.6,0.11657,misty,misty
361,750.4,0.11657,misty,misty
362,777.9,0.11657,misty,misty
363,728.5,0.11657,misty,misty
364,756.2,0.11657,misty,misty
365,707.2,0.11657,misty,misty
366,774.0,0.11657,misty,misty
367,686.5,0.11657,misty,misty
368,753.8,0.11657,misty,misty
369,782.5,0.11657,misty,misty
370,734.0,0.11657,misty,misty
371,762.9,0.11657,misty,misty
372,714.8,0.11657,misty,misty
373,782.5,0.11657,misty,misty
374,695.7,0.11657,misty,misty
375,763.8,0.11657,misty,misty
376,677.1,0.11657,misty,misty
377,745.3,0.11657,misty,misty
378,775.0,0.11657,misty,misty
379,727.1,0.11657,misty,misty
380,795.8,0.11657,misty,misty
381,708.9,0.11657,misty,misty
382,777.9,0.11657,misty,misty
383,690.9,0.11657,misty,misty
384,760.2,0.11657,misty,misty
385,790.2,0.11657,misty,misty
386,742.4,0.11657,misty,misty
387,811.8,0.11657,misty,misty
388,724.6,0.11657,misty,misty
389,794.3,0.11657,misty,misty
390,673.4,0.11657,misty,misty
391,776.9,0.11657,misty,misty
392,808.0,0.11657,misty,misty
393,759.4,0.11657,misty,misty
394,830.3,0.11657,misty,misty
395,903.8,0.11657,misty,misty
396,813.2,0.11657,misty,misty
397,764.7,0.11657,misty,misty
398,796.4,0.11657,misty,misty
399,747.7,0.11657,misty,misty
400,779.6,0.11657,misty,misty
401,851.4,0.11657,misty,misty
402,762.8,0.11657,misty,misty
403,835.2,0.11657,misty,misty
404,786.8,0.11657,misty,misty
405,819.2,0.11657,misty,misty
406,770.6,0.11657,misty,misty
407,803.4,0.11657,misty,misty
408,754.6,0.11657,misty,misty
409,787.9,0.11657,misty,misty
410,863.4,0.11657,misty,misty
411,814.3,0.11657,misty,misty
412,849.1,0.11657,misty,misty
413,799.7,0.11657,misty,misty
414,835.0,0.11657,misty,misty
415,785.5,0.11657,misty,misty
416,864.1,0.11657,misty,misty
417,899.9,0.11657,misty,misty
418,851.4,0.11657,misty,misty
419,888.0,0.11657,misty,misty
420,839.1,0.11657,misty,misty
421,876.7,0.11657,misty,misty
422,827.2,0.11657,misty,misty
423,910.4,0.11657,misty,misty
424,951.1,0.11657,misty,misty
425,900.8,0.11657,misty,misty
426,942.6,0.11657,misty,misty
427,891.8,0.11657,misty,misty
428,934.6,0.11657,misty,misty
429,883.5,0.11657,misty,misty
430,974.8,0.11657,misty,misty
431,875.7,0.11657,misty,misty
432,968.9,0.11657,misty,misty
433,1014.2,0.11657,misty,misty
434,963.8,0.11657,misty,misty
435,1010.4,0.11657,misty,misty
436,959.1,0.11657,misty,misty
437,1058.2,0.11657,misty,misty
438,954.9,0.11657,misty,misty
439,1057.1,0.11657,misty,misty
440,1110.9,0.11657,misty,misty
441,1056.4,0.11657,misty,misty
442,1166.5,0.11657,misty,misty
443,1056.2,0.11657,misty,misty
444,1169.2,0.11657,misty,misty
445,1056.5,0.11657,misty,misty
446,1168.4,0.11657,misty,misty
447,1163.6,0.11657,misty,misty
448,1158.7,0.11657,misty,misty
449,1263.0,0.11657,misty,misty
450,1138.4,0.11657,misty,misty
451,1239.0,0.11657,misty,misty
452,1110.9,0.11657,misty,misty
453,1210.5,0.11657,misty,misty
454,1139.4,0.11657,misty,misty
455,1182.1,0.11657,misty,misty
456,1110.9,0.11657,misty,misty
457,1153.5,0.11657,misty,misty
458,1253.3,0.11657,misty,misty
459,1125.3,0.11657,misty,misty
460,1224.8,0.11657,misty,misty
461,1153.6,0.11657,misty,misty
462,1196.4,0.11657,misty,misty
463,1125.1,0.11657,misty,misty
464,1167.9,0.11657,misty,misty
465,1267.5,0.11657,misty,misty
466,1139.5,0.11657,misty,misty
467,1239.0,0.11657,misty,misty
468,1167.9,0.11657,misty,misty
469,1210.5,0.11657,misty,misty
470,1137.6,0.11657,misty,misty
471,1174.5,0.11657,misty,misty
472,1211.5,0.11657,misty,misty
