# SECTION A — collision-realistic float->int conversion sweep (60000 inputs)
# idx  in(hex)         scalar_out(hex16)   class
A504    4a21cc60        0000000000287318  rng
A505    ff800000        ffffffff80000000  Inf
A506    540f8fa6        000000007fffffff  +ovf
A507    54a3b5fc        000000007fffffff  +ovf
A508    53575694        000000007fffffff  +ovf
A509    cc3bc123        fffffffffd10fb74  rng
A510    40496268        0000000000000003  rng
A511    c2a95e98        ffffffffffffffac  rng
A512    4a413c44        0000000000304f11  rng
A513    cedf8e98        ffffffff9038b400  rng
A514    562e38db        000000007fffffff  +ovf
A515    555bad84        000000007fffffff  +ovf
A516    52f039b3        000000007fffffff  +ovf
A517    cb145592        ffffffffff6baa6e  rng
A518    3f003384        0000000000000000  rng
A519    43cc5ee0        0000000000000198  rng
A520    cad2c115        ffffffffff969f76  rng
A521    4e797848        000000003e5e1200  rng
A522    562d73cb        000000007fffffff  +ovf
A523    542e8f28        000000007fffffff  +ovf
A524    54350bcd        000000007fffffff  +ovf
A525    cb400123        ffffffffff3ffedd  rng
A526    bde04556        0000000000000000  rng
A527    4317e5a0        0000000000000097  rng
A528    ca9a57fc        ffffffffffb2d402  rng
A529    ce9f1e64        ffffffffb070ce00  rng
A530    7fc00000        0000000000000000  NaN
A531    55976fd1        000000007fffffff  +ovf
A532    53e9e7d4        000000007fffffff  +ovf
A533    4ce9130a        0000000007489850  rng
A534    3f74e83e        0000000000000000  rng
A535    c458bc64        fffffffffffffc9e  rng
A536    4aef1f50        0000000000778fa8  rng
A537    4eefb3b4        0000000077d9da00  rng
A538    51ee2ba3        000000007fffffff  +ovf
A539    54c40f09        000000007fffffff  +ovf
A540    537915db        000000007fffffff  +ovf
A541    cba1b75d        fffffffffebc9146  rng
A542    3eaf8bc9        0000000000000000  rng
A543    c349ea6c        ffffffffffffff37  rng
A544    ca959188        ffffffffffb5373c  rng
A545    4becfb80        0000000001d9f700  rng
A546    543a79b6        000000007fffffff  +ovf
A547    54857fff        000000007fffffff  +ovf
A548    555eb947        000000007fffffff  +ovf
A549    cc2dcab7        fffffffffd48d524  rng
A550    3fa2dd61        0000000000000001  rng
A551    442ce95e        00000000000002b3  rng
A552    c7a709c0        fffffffffffeb1ed  rng
A553    4ec2104e        0000000061082700  rng
