# x86 (our HEAD) menu SPR3 dump, window=2400x1080 (20:9), aspect-ratio-scale should be ~1.6666
#
# Capture details (honest):
#   - gk built from HEAD rev c825283c2 (window title 'OpenGOAL - Jak 1 - c825283c2')
#   - X11 window measured 1920x1080 (monitor-bound borderless, display_mode=2);
#     the 2400x1080 comes from pc-settings.gc (window-size 2400 1080) + (aspect-state aspect4x3 20 9),
#     which drives aspect-ratio-scale=1.6666 (gold baseline confirmed arscale=1.6666 on this same monitor).
#   - aspect 20:9 also forced over goalc listener: (set-aspect! *pc-settings* 20 9)
#   - menu opened via single REAL START tap (xfocus_tap key 28); SDL_VIDEODRIVER=x11 so input reaches the window.
#   - menu-open VERIFIED over listener: *progress-process*=#t, in-out-position=0 (settled main progress menu),
#     SPR3-AUX npart=34 nicon=6 (matches gold baseline draw list).
#   - field key: px=position.x (GS units), sx=x-scale, mtx=HUD matrix idx, uhx=per-sprite hud user-hvdf X offset,
#     tbp=texture id (menu element), flag=sprite flag.
#
# ===== MENU-PERIOD mode=2 (HUD) sprites, deduped (sort -u) — static menu textures =====
# (animated title-attract particle idx=24/mtx=17 excluded; it has per-frame px/py jitter, not a menu texture)
GK-SPR3 mode=2 idx=25 px=350.24 py=-616.34 pz=274.79 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=357.16 py=-619.08 pz=261.73 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=362.70 py=-624.76 pz=248.12 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=363.80 py=216.92 pz=-397.77 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-371.71 py=452.34 pz=325.91 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=372.82 py=-613.83 pz=237.12 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=382.02 py=-605.89 pz=224.52 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=396.32 py=-581.55 pz=211.88 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-403.98 py=490.67 pz=255.02 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-405.09 py=623.54 pz=-147.72 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=408.00 py=159.29 pz=-349.67 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=409.53 py=-560.54 pz=196.39 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-424.38 py=533.36 pz=178.18 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=427.16 py=-523.62 pz=178.18 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-427.85 py=605.83 pz=-67.90 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-436.61 py=591.24 pz=15.11 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-437.35 py=560.50 pz=97.43 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=442.88 py=-490.68 pz=156.08 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=444.47 py=90.22 pz=-297.98 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=461.19 py=-442.61 pz=129.16 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=46.81 py=-20.29 pz=576.35 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=472.53 py=29.96 pz=-243.07 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=476.29 py=-399.40 pz=97.81 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=491.34 py=-342.06 pz=60.61 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=492.54 py=-40.32 pz=-187.19 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=501.59 py=-290.67 pz=19.15 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=504.91 py=-100.47 pz=-131.88 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=508.84 py=-226.34 pz=-27.80 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=509.73 py=-169.24 pz=-77.98 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=51.15 py=485.83 pz=-514.43 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-64.84 py=110.17 pz=571.28 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-7.94 py=40.29 pz=578.33 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=-91.33 py=558.36 pz=-485.82 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=25 px=98.15 py=-90.35 pz=566.38 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=11.28 py=-1075.20 pz=74.16 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=11.30 py=1075.19 pz=74.20 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=12.66 py=-1054.60 pz=133.95 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=12.68 py=1054.58 pz=133.98 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-133.43 py=1001.66 pz=-164.69 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-133.47 py=-1001.62 pz=-164.71 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-147.55 py=786.96 pz=362.56 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-147.55 py=-786.97 pz=362.55 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-186.44 py=952.70 pz=-182.77 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-186.46 py=-952.67 pz=-182.78 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-19.31 py=1081.01 pz=-40.44 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-19.35 py=-1081.00 pz=-40.47 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-197.81 py=704.68 pz=380.70 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-23.40 py=-978.99 pz=247.38 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-23.40 py=978.99 pz=247.38 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-238.74 py=-893.31 pz=-192.70 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-238.74 py=893.31 pz=-192.70 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-253.36 py=-614.67 pz=384.41 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-253.36 py=614.67 pz=384.41 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-2.69 py=1022.37 pz=192.78 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-2.70 py=-1022.38 pz=192.77 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-294.04 py=824.17 pz=-185.84 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-294.06 py=-824.15 pz=-185.84 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-305.99 py=-517.93 pz=377.62 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-305.99 py=517.93 pz=377.62 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-345.09 py=746.04 pz=-170.73 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-345.13 py=-745.98 pz=-170.73 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-358.03 py=-415.49 pz=356.55 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-358.03 py=415.49 pz=356.55 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-393.46 py=659.64 pz=-140.00 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-393.47 py=-659.61 pz=-140.00 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-403.71 py=-308.51 pz=325.89 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-403.71 py=308.51 pz=325.89 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=4.11 py=-1084.05 pz=14.08 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=4.14 py=1084.05 pz=14.12 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
