== ANALYSIS ==
-- distinct st= tags seen --
    397 st=
-- EGRAB / EGRAB-OFF / EGRAB-JUMP lines --
  edge-grab line count = 0
-- launch lines (|tv| > 150000) --
06-27 07:37:24.190 I/GK_STDOUT(24647): GLEDGE f=2038 st=other tr=-5232720.0,-62418.6,4081885.2 tv=0.0,-163840.0,0.0 |tv|=163840.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.205 I/GK_STDOUT(24647): GLEDGE f=2039 st=other tr=-5232706.0,-65149.3,4081873.0 tv=827.5,-163840.0,-737.9 |tv|=163843.8 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.218 I/GK_STDOUT(24647): GLEDGE f=2040 st=other tr=-5232678.5,-67880.0,4081849.2 tv=1662.0,-163840.0,-1428.7 |tv|=163854.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.242 I/GK_STDOUT(24647): GLEDGE f=2041 st=other tr=-5232637.0,-70610.6,4081814.2 tv=2490.8,-163840.0,-2102.0 |tv|=163872.4 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.264 I/GK_STDOUT(24647): GLEDGE f=2042 st=other tr=-5232513.5,-76072.0,4081711.0 tv=4119.7,-163840.0,-3425.4 |tv|=163927.6 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.280 I/GK_STDOUT(24647): GLEDGE f=2043 st=other tr=-5232431.5,-78802.6,4081643.2 tv=4920.5,-163840.0,-4072.2 |tv|=163964.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.289 I/GK_STDOUT(24647): GLEDGE f=2044 st=other tr=-5232336.5,-81533.3,4081565.0 tv=5714.3,-163840.0,-4701.6 |tv|=164007.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.307 I/GK_STDOUT(24647): GLEDGE f=2045 st=other tr=-5232228.0,-84263.9,4081476.5 tv=6501.7,-163840.0,-5310.6 |tv|=164054.9 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.319 I/GK_STDOUT(24647): GLEDGE f=2046 st=other tr=-5232106.5,-86994.6,4081378.5 tv=7285.5,-163840.0,-5887.1 |tv|=164107.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.343 I/GK_STDOUT(24647): GLEDGE f=2047 st=other tr=-5231972.0,-89725.3,4081271.5 tv=8065.9,-163840.0,-6425.2 |tv|=164164.2 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.352 I/GK_STDOUT(24647): GLEDGE f=2048 st=other tr=-5231664.5,-95186.6,4081032.8 tv=9606.5,-163840.0,-7409.0 |tv|=164288.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.372 I/GK_STDOUT(24647): GLEDGE f=2049 st=other tr=-5231491.5,-97917.3,4080902.5 tv=10370.0,-163840.0,-7810.7 |tv|=164353.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.387 I/GK_STDOUT(24647): GLEDGE f=2050 st=other tr=-5231306.0,-100647.9,4080766.2 tv=11123.2,-163840.0,-8168.4 |tv|=164420.2 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.405 I/GK_STDOUT(24647): GLEDGE f=2051 st=other tr=-5231108.5,-103378.6,4080624.8 tv=11863.9,-163840.0,-8482.9 |tv|=164487.9 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.416 I/GK_STDOUT(24647): GLEDGE f=2052 st=other tr=-5230898.5,-106109.3,4080478.8 tv=12590.1,-163840.0,-8754.4 |tv|=164556.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.432 I/GK_STDOUT(24647): GLEDGE f=2053 st=other tr=-5230676.5,-108839.9,4080329.0 tv=13321.0,-163840.0,-8990.0 |tv|=164626.3 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.450 I/GK_STDOUT(24647): GLEDGE f=2054 st=other tr=-5230442.0,-111570.6,4080175.8 tv=14062.6,-163840.0,-9189.7 |tv|=164699.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.468 I/GK_STDOUT(24647): GLEDGE f=2055 st=other tr=-5230195.0,-114301.2,4080020.0 tv=14813.7,-163840.0,-9350.3 |tv|=164773.8 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.483 I/GK_STDOUT(24647): GLEDGE f=2056 st=other tr=-5229935.5,-117031.9,4079862.2 tv=15572.5,-163840.0,-9468.7 |tv|=164850.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.500 I/GK_STDOUT(24647): GLEDGE f=2057 st=other tr=-5229663.0,-119762.6,4079703.2 tv=16336.9,-163840.0,-9542.4 |tv|=164928.8 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.517 I/GK_STDOUT(24647): GLEDGE f=2058 st=other tr=-5229378.0,-122493.2,4079543.8 tv=17104.5,-163840.0,-9568.4 |tv|=165008.1 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.533 I/GK_STDOUT(24647): GLEDGE f=2059 st=other tr=-5229080.0,-125223.9,4079384.8 tv=17872.1,-163840.0,-9545.0 |tv|=165088.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.551 I/GK_STDOUT(24647): GLEDGE f=2060 st=other tr=-5228769.5,-127954.6,4079227.0 tv=18636.5,-163840.0,-9470.5 |tv|=165168.3 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.566 I/GK_STDOUT(24647): GLEDGE f=2061 st=other tr=-5228446.5,-130685.2,4079071.2 tv=19393.2,-163840.0,-9339.2 |tv|=165247.9 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.584 I/GK_STDOUT(24647): GLEDGE f=2062 st=other tr=-5228111.0,-133415.9,4078918.8 tv=20137.5,-163840.0,-9149.9 |tv|=165326.3 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.601 I/GK_STDOUT(24647): GLEDGE f=2063 st=other tr=-5227763.5,-136146.6,4078770.5 tv=20864.3,-163840.0,-8901.8 |tv|=165402.9 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.624 I/GK_STDOUT(24647): GLEDGE f=2064 st=other tr=-5227404.0,-138877.2,4078627.2 tv=21568.3,-163840.0,-8594.9 |tv|=165476.9 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.640 I/GK_STDOUT(24647): GLEDGE f=2065 st=other tr=-5226651.5,-144338.6,4078359.0 tv=22919.5,-163840.0,-7864.3 |tv|=165622.1 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.653 I/GK_STDOUT(24647): GLEDGE f=2066 st=other tr=-5226259.5,-147069.3,4078235.8 tv=23523.5,-163840.0,-7390.0 |tv|=165685.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.667 I/GK_STDOUT(24647): GLEDGE f=2067 st=other tr=-5225858.0,-149799.9,4078121.2 tv=24084.5,-163840.0,-6865.5 |tv|=165743.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.685 I/GK_STDOUT(24647): GLEDGE f=2068 st=other tr=-5225448.0,-152530.6,4078016.2 tv=24597.8,-163840.0,-6294.3 |tv|=165795.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.700 I/GK_STDOUT(24647): GLEDGE f=2069 st=other tr=-5225030.5,-155261.3,4077921.5 tv=25059.7,-163840.0,-5680.7 |tv|=165842.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.716 I/GK_STDOUT(24647): GLEDGE f=2070 st=other tr=-5224606.0,-157992.0,4077837.8 tv=25467.5,-163840.0,-5029.9 |tv|=165883.8 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.734 I/GK_STDOUT(24647): GLEDGE f=2071 st=other tr=-5224175.5,-160722.6,4077765.2 tv=25820.2,-163840.0,-4347.7 |tv|=165919.1 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.750 I/GK_STDOUT(24647): GLEDGE f=2072 st=other tr=-5223740.0,-163453.3,4077704.5 tv=26117.6,-163840.0,-3639.6 |tv|=165948.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.767 I/GK_STDOUT(24647): GLEDGE f=2073 st=other tr=-5223300.5,-166184.0,4077656.0 tv=26359.6,-163840.0,-2910.7 |tv|=165972.4 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.785 I/GK_STDOUT(24647): GLEDGE f=2074 st=other tr=-5222858.0,-168914.6,4077620.0 tv=26546.5,-163840.0,-2165.8 |tv|=165990.8 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.802 I/GK_STDOUT(24647): GLEDGE f=2075 st=other tr=-5222413.5,-171645.3,4077596.5 tv=26678.9,-163840.0,-1409.3 |tv|=166003.9 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.820 I/GK_STDOUT(24647): GLEDGE f=2076 st=other tr=-5221967.5,-174376.0,4077585.8 tv=26754.7,-163840.0,-645.0 |tv|=166011.4 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.834 I/GK_STDOUT(24647): GLEDGE f=2077 st=other tr=-5221521.0,-177106.7,4077587.8 tv=26779.9,-163840.0,122.6 |tv|=166014.2 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.850 I/GK_STDOUT(24647): GLEDGE f=2078 st=other tr=-5221075.0,-179837.3,4077602.5 tv=26761.9,-163840.0,890.4 |tv|=166013.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.869 I/GK_STDOUT(24647): GLEDGE f=2079 st=other tr=-5220630.0,-182568.0,4077630.0 tv=26714.7,-163840.0,1656.9 |tv|=166012.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.885 I/GK_STDOUT(24647): GLEDGE f=2080 st=other tr=-5220186.0,-185298.7,4077670.2 tv=26648.7,-163840.0,2422.1 |tv|=166010.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.901 I/GK_STDOUT(24647): GLEDGE f=2081 st=other tr=-5219743.0,-188029.3,4077723.2 tv=26571.9,-163840.0,3186.2 |tv|=166011.3 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.918 I/GK_STDOUT(24647): GLEDGE f=2082 st=other tr=-5219301.5,-190760.0,4077789.0 tv=26490.1,-163840.0,3949.9 |tv|=166014.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.934 I/GK_STDOUT(24647): GLEDGE f=2083 st=other tr=-5218861.5,-193490.7,4077867.5 tv=26407.6,-163840.0,4713.4 |tv|=166021.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.950 I/GK_STDOUT(24647): GLEDGE f=2084 st=other tr=-5218422.5,-196221.4,4077958.8 tv=26326.8,-163840.0,5477.2 |tv|=166032.1 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.968 I/GK_STDOUT(24647): GLEDGE f=2085 st=other tr=-5217985.0,-198952.0,4078062.8 tv=26248.8,-163840.0,6241.2 |tv|=166046.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:24.984 I/GK_STDOUT(24647): GLEDGE f=2086 st=other tr=-5217549.0,-201682.7,4078179.5 tv=26173.9,-163840.0,7005.5 |tv|=166065.3 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:25.001 I/GK_STDOUT(24647): GLEDGE f=2087 st=other tr=-5217114.0,-204413.4,4078309.0 tv=26101.7,-163840.0,7770.1 |tv|=166088.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:25.018 I/GK_STDOUT(24647): GLEDGE f=2088 st=other tr=-5216680.0,-207144.0,4078451.2 tv=26031.4,-163840.0,8534.9 |tv|=166114.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:25.035 I/GK_STDOUT(24647): GLEDGE f=2089 st=other tr=-5216247.5,-209874.7,4078606.2 tv=25962.0,-163840.0,9299.8 |tv|=166144.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:25.050 I/GK_STDOUT(24647): GLEDGE f=2090 st=other tr=-5215816.0,-212605.4,4078774.0 tv=25892.7,-163840.0,10064.6 |tv|=166178.4 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:25.067 I/GK_STDOUT(24647): GLEDGE f=2091 st=other tr=-5215385.5,-215336.1,4078954.5 tv=25822.1,-163840.0,10829.4 |tv|=166215.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:25.085 I/GK_STDOUT(24647): GLEDGE f=2092 st=other tr=-5214956.5,-218066.7,4079147.8 tv=25749.4,-163840.0,11593.9 |tv|=166255.8 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:25.101 I/GK_STDOUT(24647): GLEDGE f=2093 st=other tr=-5214528.5,-220797.4,4079353.8 tv=25673.3,-163840.0,12358.1 |tv|=166299.1 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:25.118 I/GK_STDOUT(24647): GLEDGE f=2094 st=other tr=-5214102.0,-223528.1,4079572.5 tv=25592.7,-163840.0,13121.9 |tv|=166345.2 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:25.133 I/GK_STDOUT(24647): GLEDGE f=2095 st=other tr=-5213677.0,-226258.8,4079804.0 tv=25506.7,-163840.0,13885.1 |tv|=166393.9 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:37:25.150 I/GK_STDOUT(24647): GLEDGE f=2096 st=other tr=-5213253.5,-228989.4,4080048.0 tv=25414.3,-163840.0,14647.5 |tv|=166445.1 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
