== ANALYSIS ==
-- distinct st= tags seen --
    225 st=
-- EGRAB / EGRAB-OFF / EGRAB-JUMP lines --
  edge-grab line count = 0
-- launch lines (|tv| > 150000) --
06-27 07:24:56.664 I/GK_STDOUT(21584): GLEDGE f=5672 st=other tr=-5045780.0,-193632.6,4148160.0 tv=36581.5,-163840.0,12917.8 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.679 I/GK_STDOUT(21584): GLEDGE f=5673 st=other tr=-5045171.5,-196363.3,4148378.5 tv=36511.6,-163840.0,13114.1 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.701 I/GK_STDOUT(21584): GLEDGE f=5674 st=other tr=-5044564.0,-199094.0,4148600.2 tv=36440.6,-163840.0,13310.1 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.718 I/GK_STDOUT(21584): GLEDGE f=5675 st=other tr=-5043352.0,-204555.3,4149050.2 tv=36368.7,-163840.0,13505.4 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.739 I/GK_STDOUT(21584): GLEDGE f=5676 st=other tr=-5042749.0,-207286.0,4149283.2 tv=36189.6,-163840.0,13978.1 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.748 I/GK_STDOUT(21584): GLEDGE f=5677 st=other tr=-5042147.0,-210016.7,4149519.0 tv=36126.2,-163840.0,14141.2 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.763 I/GK_STDOUT(21584): GLEDGE f=5678 st=other tr=-5041546.0,-212747.3,4149757.5 tv=36061.5,-163840.0,14305.3 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.782 I/GK_STDOUT(21584): GLEDGE f=5679 st=other tr=-5040946.0,-215478.0,4149998.8 tv=35993.4,-163840.0,14475.8 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.797 I/GK_STDOUT(21584): GLEDGE f=5680 st=other tr=-5040347.5,-218208.7,4150242.8 tv=35924.5,-163840.0,14645.9 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.814 I/GK_STDOUT(21584): GLEDGE f=5681 st=other tr=-5039750.0,-220939.3,4150489.8 tv=35855.0,-163840.0,14815.4 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.830 I/GK_STDOUT(21584): GLEDGE f=5682 st=other tr=-5039153.5,-223670.0,4150739.5 tv=35784.9,-163840.0,14984.0 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.848 I/GK_STDOUT(21584): GLEDGE f=5683 st=other tr=-5038558.5,-226400.7,4150992.0 tv=35711.8,-163840.0,15157.4 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.864 I/GK_STDOUT(21584): GLEDGE f=5684 st=other tr=-5037964.5,-229131.4,4151247.5 tv=35640.1,-163840.0,15325.1 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
